session_start,id,player,name,SaaS,last_state,session_id,GUOT,surprises,learnedToday
03/06/2026 07:17,9285,kenny.vaughan,Too Good To Be True,1,retro,9285,10,"Two shareholders adding pressure ""I have a stakeholder meeting in 10 min"" and the CEO saying he wants a specific ETA and dates; both pushing for time to resolution.

I noticed a little bit of blame from Daniel: ""It's not my PR it's Shays"" which is a thing to curb.",I should be more specific with people on what I need from them.
28/05/2026 09:22,9174,david.rant,Too Good To Be True,1,retro,9174,8,"Normally I'm the one digging through logs and PRs to find a root cause, so it was a different experience being able to lean on the expertise of others to surface the right information back to me.

It was a bit misleading having two very similar but not identical grafana dashboards, that was a bit confusing. Also having them initially set to ""last 15 minutes"" when the incident occurred longer than 15 minutes before the lab started added some distraction from learning to run the incident.",Surface information and communicate sideways/upwards to colleagues sooner before starting to dig into possible root causes.
26/05/2026 11:38,9133,sam.broughton,Too Good To Be True,1,retro,9133,7,Bots claiming ownership of parts of the issue and needing me to confirm it,Take command and confirm with the bots that they should be doing what they say they're about to do
21/05/2026 09:43,9076,barry,Too Good To Be True,1,retro,9076,8,NA,NA
18/05/2026 13:34,8991,john.dilley,Too Good To Be True,1,retro,8991,9,Having to keep switching between the two channels,May try and keep both channels both open
15/05/2026 15:20,8946,antoine.poullet,Too Good To Be True,1,retro,8946,8,Didn't have any specific surprises,N/A
11/05/2026 12:59,8826,catherine,Too Good To Be True,1,retro,8826,8,It felt surprising real. It was difficult to come into a system I wasn't familiar with and know what the metrics I was looking at,Learning the type of things you can ask different characters
07/05/2026 14:16,8770,michael.hillman,Too Good To Be True,1,retro,8770,7,"Adding the onus of updating exec level people really puts the commander skills to the test, it's a nice touch.",Confidence in the commanding skills and the communication are helpful
05/05/2026 12:30,8706,jaime.holland,Too Good To Be True,1,retro,8706,8,The chat bots responded in a very human like manner,Keeping comms going with all parties at all times
01/05/2026 14:21,8690,patrick.boyd,Too Good To Be True,1,retro,8690,8,n/a,Got a grounding in how the systems work and what is expected of us during a drill.
30/04/2026 20:54,8676,gabriel,Too Good To Be True,1,retro,,,,
30/04/2026 12:58,8666,joshua.quinn,Too Good To Be True,1,retro,,,,
30/04/2026 12:44,8665,joshua.quinn,Too Good To Be True,1,aborted,,,,
30/04/2026 12:20,8663,david.emmerson,Too Good To Be True,1,retro,8663,9,"it was hard to figure out the system itself while dealing with the incident, so doing this pre-session is a good idea",more business comms. remember to actually raise incident.
30/04/2026 12:20,8662,gabriel,Too Good To Be True,1,retro,8662,10,Getting messages for revenue reports from the CEO when trying to diagnose the problem,My main area for potential improvement right now is probably prioritisation
29/04/2026 14:12,8645,joshua.quinn,Too Good To Be True,1,retro,8645,10,"Realistic setting, pretty smooth overall I'd say","How to use UptimeLabs! Timing is important: for example, drill ended whilst typing in a response to someone. Understanding business hierarchy is important, would benefit from looking into it more to know who to call on & when"
29/04/2026 14:09,8644,harsh.mohan,Too Good To Be True,1,retro,8644,8,"nothing to be honest, it was the first drill so bit new to get used to but overall quite nice to get used to all the moving bits of the platform.",how to communicate and getting cross-validation.
20/02/2026 15:23,7789,andy.knox,Too Good To Be True,1,retro,7789,9,"Not too much surprising or unexpected - it was a good intro to the platform, seemed like a real enough drill",Doing incident response on a laptop is hard - suggest people have a decent setup with an extra monitor :)    Take time to pause and read what people are saying.
18/06/2026 13:23,9521,joshua.quinn,Bezs Beatles Day!,1,retro,,,,
12/06/2026 15:26,9460,eamonn.boyle,Bezs Beatles Day!,1,retro,9460,,,Be sure to frame the priority. I guess we're used to internally understanding that getting back to stability and resolving customer impacting work is the priority. But here I only did this when Dan was pushing back about rolling back.
10/06/2026 15:02,9414,kenny.vaughan,Bezs Beatles Day!,1,retro,,,,
11/05/2026 13:10,8828,oli,Bezs Beatles Day!,1,retro,8828,8,Having to push back on the engineer insisting it wasn't his change,Verify assumptions
07/05/2026 12:35,8767,joshua.quinn,Bezs Beatles Day!,1,retro,8767,8,"Daniel's reluctance, although it was a bit hard to figure out why?","Be more firm, trust logs & metrics > people"
30/04/2026 12:21,8664,rosie.miller,Bezs Beatles Day!,1,retro,8664,8,Too real!,Don't just stare in a blind panic. Learn how to delegate. Clear instructions.
18/06/2026 14:04,9523,joshua.quinn,The Big Investor,0,retro,9523,8,Tests existed.,Being more forthright with time boxing
18/06/2026 14:26,9526,joshua.quinn,Rumours,1,retro,9526,7,"I wasn't expecting to have to debug the team's browsers, so useful information.","Don't just think about changes, but also the People."
11/06/2026 09:06,9420,david.rant,Missing Delivery,0,retro,9420,9,"Having to bring in an exec to bypass AWS support, and that it all went through a 3rd party. That's not hugely representative of our setup having to get execs phone execs.","Reminded me to be more enquisitive about the shape of customers impacted, when it began, building up a picture of the incident for reporting upwards."
11/06/2026 09:01,9419,davide.ungari,Missing Delivery,0,retro,9419,9,That it was AWS issue was not expecting that,To always consider the platform not only the product.
08/06/2026 13:02,9384,john.dilley,Missing Delivery,0,retro,9384,8,Dealing with third party vendors,How to escalate to the right people
04/06/2026 09:04,9338,barry,Missing Delivery,0,retro,9338,9,the lack of metrics for SNS specifically on the dashboard - most would have an alert for that I think,who can escalate the AWS support case
03/06/2026 14:04,9321,harsh.mohan,Missing Delivery,0,retro,,,,
01/06/2026 13:03,9232,catherine,Missing Delivery,0,retro,9232,8,Clarifying what people mean if I don't understand something,don't be afraid to ask a dumb question
29/05/2026 15:02,9206,antoine.poullet,Missing Delivery,1,retro,9206,10,Learning to understand when to escalate was very useful,Knowing when to escalate
28/05/2026 14:03,9187,michael.hillman,Missing Delivery,1,retro,9187,7,"There was a point were I tagged Tinus (along with other people) but it looks like that didn't trigger a response, so I have to tag him again later.","Relying on external services, and their support processes, can be limiting; exploring other routes through their support (like exec contacts) can expedite things."
28/05/2026 11:04,9178,rosie.miller,Missing Delivery,1,retro,9178,8,"I didn't know if messages not getting through to Tinus was part of the drill or me asking in the wrong place. Still not entirely sure.
Not sure I managed the incident priority stuff well. Started with p2 because the actual buying functionality was still working, but probably should have gone for p1. Perhaps Tinus only responded after I upped it to p1? I am unsure about that whole procedure.",I enjoyed the back and forth with the characters. I felt less inhibited while interacting this time which meant I could go faster.
26/05/2026 12:05,9135,jaime.holland,Missing Delivery,1,retro,,,,
15/05/2026 14:05,8945,patrick.boyd,Missing Delivery,1,retro,8945,10,I would have expected the network team to be more snappy when looking at the logs for an email problem.,Escalating early I think.
07/05/2026 12:07,8764,gabriel,Missing Delivery,1,retro,8764,9,I had to be quite explicit with Tinus about what I wanted him and Hamed to do - humans probably would have worked it out from context.,"When a third party service is not offering an acceptable resolution, escalation is a good response to reach for."
07/05/2026 12:03,8763,david.emmerson,Missing Delivery,1,retro,8763,9,I got a bit panicked even though it's a fake situation :D,"I'm not quite used to the system yet, but getting there. Didn't look at the logs early enough or ask the team about errors."
10/03/2026 11:09,7945,adam.gould,The Disappearing Act,1,retro,,,,
04/06/2026 14:04,9352,michael.hillman,Discount Disaster Workshop,0,retro,9352,7,"Execs asking about revenue lost is an interesting one when I don't appear to have any direct metrics around it, nor is there a financial role listed on the team; difficult to know who to direct questions about revenue to.",Challenging assumptions and asking people to double check their statements can be useful otherwise you'll end up investigating red herrings.
26/02/2026 10:34,7824,eamonn.boyle,Discount Disaster Workshop,1,retro,7824,8,I was more nervous and felt the urgency of a real incident.,"Need to customer comms quicker, and focus on the spot the bleeding. Could we have narrowed in on blocking the IP in this one quicker."
10/02/2026 14:18,7685,jason.nicholls,Discount Disaster Workshop,1,retro,7685,7,That it was DDOS from a single IP. That it was DDOS at all,To capture more information early. Not to jump to conclusions too quickly (was already trying not to do that but difficult when moving quickly)
10/02/2026 10:33,7677,sam.williams,Discount Disaster Workshop,1,retro,7677,8,"One of the team members reported a DoS when I had already identified this as the problem, which felt a bit strange, I would expected them to respond to my request that they implement the fix rather than re-stating what we already knew. But apart from that we're good.",Learned to keep an eye on the metrics at all times as things can unexpectedly change during an ongoing incident
10/02/2026 10:13,7675,adam.gould,Discount Disaster Workshop,1,retro,7675,9,Nothing surprising or unexpected as I went in with very little assumptions,I have learnt to involve more people from different areas into the initial investigation and hypothesis stage much sooner
04/02/2026 14:06,7619,gwen.sellers,Discount Disaster Workshop,1,retro,7619,6,"I was somewhat surprised by load tests being in the change logs and running so close to the incident, which did distract me from my initial suspicion that it was a DDoS.","It was useful to have the focus on how to communicate a sensitive security incident to customers, especially combined with the customer support person wanting to get information out asap. The managing interactions across multiple channels was quite realistic."
10/02/2026 15:04,7686,julian.wreford,Memory Lane Workshop,1,retro,7686,7,I wouldn't say anything was super surprising tbh,"I realised that I hadn't communicated with Bob until quite far into the incident. I should acknowledge an incident before we have a root cause
I also should have put timeboxes on stuff, Bez stopped pestering me when I said that I'd give him another update in X minutes"
14/05/2026 09:15,8904,davide.ungari,Too Good To Be True Workshop,1,retro,8904,8,"I think nothing was surprising in a bad way, the whole experience was good maybe a bit ""accelerated"" compared to reality.","For sure is good to have a clear incident response procedure and have a clear picture of the team and main components if you need to orchestrate the incident. Also it was interesting that one engineer did not know how to rollback, I guess that is something everybody should know how to do."
04/02/2026 10:21,7613,mattg,Too Good To Be True Workshop,1,retro,7613,8,"Seemed pretty simple and familiar. Nothing really surprised me, I think it's a good starting point for people with less experience running this sort of thing.","Reproducing and verifying within the app is a good hint to take into the next one, I usually deal with the operational metrics side, so I missed actually using the app!"
03/02/2026 14:30,7606,jason.nicholls,Too Good To Be True Workshop,1,retro,7606,7,The bots seemed fairly realistic,"prompt comms outside of technical teams.
coordinating peers. 
I think I've had reminders via the prompts more than learning anything completely new in this scenario"
03/02/2026 11:17,7600,sam.williams,Too Good To Be True Workshop,1,retro,7600,9,"The second blip of traffic going down after the rollback was deployed felt a little strange but it was explained afterwards, I assume I would know to look out for this in future incidents at the same company.",I have learned to keep verifying that a fix is still working and keep stakeholders informed at appropriate times.
03/02/2026 10:17,7598,adam.gould,Too Good To Be True Workshop,1,retro,7598,9,"Having very little knowledge of how things worked and the processes was a difference experience for me. I usually can do rollbacks and root cause analysis myself if I need to, but here I had to just be the coordinator.",It would useful to bring to my attention restoration over root cause analysis as there is a tendency for the latter for me personally
02/02/2026 14:19,7588,gwen.sellers,Too Good To Be True Workshop,1,retro,7588,7,"I think it was mostly in-line with what I expected, I was surprised that characters would not interact until I @-ed them explicitly sometimes, but otherwise nothing particularly stood out.",N/A
04/03/2026 14:11,7884,eamonn.boyle,DEFCON 1,1,retro,7884,7,"Switching comms to another channel but not discussing the decision to do that - especially when Bez flagged it up so it felt like something that could be decided on.

It was a lot of text to read!",Having the detail in a call and summarising the actions in chat is much more manageable for people who aren't leading the incident. Having runbooks for key incidents like this is essential to avoid panic in the moment.
03/03/2026 10:07,7867,gwen.sellers,DEFCON 1,1,retro,7867,8,I was surprised by it turning out to be a security issue rather than something more technical.,"It's worth checking whether insurance exists during a ransomware attack, as well as backup"
24/02/2026 15:10,7812,jason.nicholls,DEFCON 1,1,retro,7812,8,sheer amount of comms from all the different team members,Still didn't stop the issue soon enough -without prompting
17/02/2026 10:05,7752,adam.gould,DEFCON 1,1,retro,7752,10,I was caught out by trying to kill the script and the ransomware doubling for interference! It seemed to be one of those incidents where getting over one hurdle presented another one!,"Understand non-technical business mitigations sooner such as legal, compliance and insurance related options."
04/06/2026 09:13,9341,david.rant,The Big Investor Workshop,0,retro,9341,8,"A senior engineer saw the timelines of the incident, and didn't add up that they'd started a process in UAT that roughly aligned. Unexpected that someone has the ability to run rogue processes in production without any peer review or knowledge. And the same for the server switching, that it could have happened and there's no audit trail or peer review on that happening. That was emphasised by the fact that Tanya failed to mention it and Hamed knew nothing about that switch.","I need to question folks explicitly about ""have you done anything that aligns with the incident timewise"" rather than narrowing my questions to ""have there been code or platform changes""."
03/06/2026 15:08,9331,kenny.vaughan,The Big Investor Workshop,0,retro,9331,8,I didn't expect the outcome to be someone running chaos testing against prod so the actual incident was interesting and unexpected.,Asking about things that aren't just changes we've tracked.
02/06/2026 13:05,9272,sam.broughton,The Big Investor Workshop,0,retro,9272,4,a company of 9 people somehow has siloed communication,I shouldn't assume that the simulated colleagues are competent
01/06/2026 13:07,9233,john.dilley,The Big Investor Workshop,0,retro,9233,9,"Lots of possible theories going on, need to search wide, and not focus too much on one possible cause.",Take the hints from people sooner! (e.g. what scripts are running)
28/05/2026 09:06,9172,barry,The Big Investor Workshop,1,retro,,,,
27/05/2026 14:06,9164,harsh.mohan,The Big Investor Workshop,1,retro,,,,
22/05/2026 15:03,9110,antoine.poullet,The Big Investor Workshop,1,retro,9110,8,Have not encountered a scenario like this before where our own tests take down prod,I'm not sure for now
21/05/2026 09:03,9072,davide.ungari,The Big Investor Workshop,1,retro,9072,8,Nothing really,To study the org chart a little bit better to remember names
18/05/2026 13:08,8987,catherine,The Big Investor Workshop,1,retro,8987,8,"It was useful that Tanya highlighted the scripts, but I would have thought Daniel would have flagged this himself","Regular updates, keep bringing people in and cross checking results"
14/05/2026 14:04,8919,michael.hillman,The Big Investor Workshop,1,retro,8919,7,"This one took a little bit longer to identify the root cause, I think having people that also weren't sure of the potential causes replicates a real incident quite well.",Spreading out the investigation in case not all people on the call are able to identify the root cause is valuable I think.
14/05/2026 12:08,8914,gabriel,The Big Investor Workshop,1,retro,8914,9,The cause of the issue was unexpected - something that wasn't tracked as a change and went under the radar because of operational mistakes.,"When the usual troubleshooting fails, it is a good idea to ask people in engineering/operations whether there is anything potentially related, even if they don't think it is actually the cause of the issue"
14/05/2026 12:04,8913,david.emmerson,The Big Investor Workshop,1,retro,8913,8,Bez seemed a little more chill.,I think I did pretty well that time
14/05/2026 11:11,8910,rosie.miller,The Big Investor Workshop,1,retro,8910,5,"There were some slightly weird interactions where I asked a question and didn't really get a reply, the conversation just sort of continued like a script",To read messages better and to escalate if needed
12/05/2026 12:11,8853,jaime.holland,The Big Investor Workshop,1,retro,8853,8,n/a,"Useful to not focus entirely on known changes, but also to gather information on what else is happening on the infrastructure"
08/05/2026 14:21,8790,patrick.boyd,The Big Investor Workshop,1,retro,8790,10,Surprisingly life like.,You need to keep drilling down from the most obvious problems to the root cause.
24/02/2026 11:07,7808,andy.knox,The Unknown Unknown,1,retro,7808,9,"I was expecting more disagreement or conflicting information, but that didn't seem to happen. Bez was very supportive!","Making a decision about taking the site offline is tricky, having some examples of when it is and isn't appropriate to do that would be helpful. For example, around the level of customer impact and data corruption."
19/02/2026 10:05,7769,sam.williams,The Unknown Unknown,1,retro,7769,8,"Occasionally it feels like the bots are having their own conversation as part of the ""script"" even when I've just said something related, or being ignored","Even if a change says it's been run a while ago against a different environment, there's chance it could still accidentally be related"
18/02/2026 10:09,7763,mattg,The Unknown Unknown,1,retro,7763,8,"Severity of needing to place a banner up, but that's realistic in some cases. Lack of metrics/insight into tests that might have caught the configuration mishap, there wasn't much mention of CI/CD testing/release process to catch these things (maybe I could have asked)","There was more pressure on time-boxing and expectation setting on this drill, something that I'll still consider on some of the smaller and simpler drills. Some interesting team conflict themes in this one too."
17/02/2026 14:04,7756,jason.nicholls,The Unknown Unknown,1,retro,7756,7,I was amused by different teams pointing at each other so directly. We don't generally get that so bluntly at Gearset,Could have communicated with C suite more effectively and earlier
10/02/2026 14:05,7683,gwen.sellers,The Unknown Unknown,1,retro,7683,5,"There was quite a bit of confusion/mismatch between things I was saying and how there were bots responding which added an amount of unnecessary confusion to the situation, for example they kept re-stating the bug even though I was already on the same page about it, and at times they would ignore things to talk about something unrelated. I also struggled to distinguish between ""things i should accept as facts about the world of the game"" and ""things to question as part of incident response"" (e.g: i erroneously concluded that i was supposed to trust what environments changes said they were on, as I assumed that was a factual reflection of reality and not something the bots could get wrong), so I didn't chase my initial suspicion about the cache when I could have.","Be more rigorous at questioning whether people are reporting the correct information if you are suspicious, especially when you don't know the details of how the systems work, and even when they're higher seniority than you."
10/06/2026 14:04,9411,harsh.mohan,Discount Disaster,0,retro,,,,
04/06/2026 11:05,9343,rosie.miller,Discount Disaster,0,retro,,,,
16/02/2026 14:05,7742,mattg,Discount Disaster,1,retro,,,,
27/05/2026 15:07,9166,kenny.vaughan,Onboarding,1,retro,9166,8,I didn't expect to be in multiple challenges or to have the dashboards accessible to me directly.,Taking action - I was a bit passive and didn't expect to need to step in as part of this but the AI (and Rishikesh) did a great job of prompting me.
26/05/2026 11:28,9132,sam.broughton,Onboarding,1,retro,,,,
21/05/2026 09:29,9073,barry,Onboarding,1,retro,,,,
19/05/2026 08:39,9018,harsh.mohan,Onboarding,1,retro,,,,
18/05/2026 13:22,8990,john.dilley,Onboarding,1,retro,,,,
10/06/2026 12:02,9408,rosie.miller,Memory Lane,0,retro,,,,
28/05/2026 12:05,9182,david.emmerson,Memory Lane,1,retro,9182,10,"the ""it's fixed, but it's not"" bit threw me...",I probably should have told bez that I couldn't get the financials there and then and given him a timeframe of when he could have them
18/06/2026 09:07,9514,david.rant,Snipe Hunt,0,retro,9514,9,"Having to fight to get people engaged with the incident - Tanya being on another call, and having to escalate to other people so we can do things like restart services.","Set clear priorities with others - if the nicident is higher priority than a routine call, make it clear."
17/06/2026 15:03,9503,kenny.vaughan,Snipe Hunt,0,retro,9503,9,I liked that there were some people not available and I had to make an executive decision myself.,I should review the facts more frequently.
17/06/2026 14:05,9502,harsh.mohan,Snipe Hunt,0,retro,,,,
17/06/2026 12:02,9497,rosie.miller,Snipe Hunt,0,retro,9497,,,I learned that I could be more assertive during the drill - particularly with Tanya. And that I could make a call and take responsibility if everyone else that could was away
16/06/2026 14:32,9483,mattg,Snipe Hunt,1,retro,,,,
12/06/2026 15:46,9462,eamonn.boyle,Snipe Hunt,1,retro,9462,9,Tanya's reluctance to come out of the vendor session,On with customer comms a bit quicker. Press for prioritisation of the incident quicker.
12/06/2026 15:46,9461,john.dilley,Snipe Hunt,1,retro,9461,10,Unavailability of platform team,Get the right people on sooner
12/06/2026 15:10,9457,michael.hillman,Snipe Hunt,1,retro,9457,8,"Having so many people out of touch was very difficult to deal with but does mimic real world cases pretty well, having to ask another colleague to leave their meeting isn't ideal but I feel like incident commanders do need to be ready to make that call.","Taking the responsibility during the escalation was interesting, having the confidence to review the evidence and make that important call will likely be useful going forward."
11/06/2026 10:04,9424,catherine,Snipe Hunt,0,retro,9424,9,"having to drag people into it, not having lines to escalate",be a bit bossy :)
11/06/2026 09:09,9423,barry,Snipe Hunt,0,retro,,,,
05/06/2026 15:03,9371,antoine.poullet,Snipe Hunt,0,retro,9371,10,Stressful,Not sure
02/06/2026 12:08,9268,jaime.holland,Snipe Hunt,0,retro,,,,
28/05/2026 12:14,9183,gabriel,Snipe Hunt,1,retro,9183,9,Key members of staff being unavailable was an interesting twist to the challenge.,"It's good to have as much situational awareness upfront as possible. For example, who is available at the moment? A bit tech summit event is obviously an example where some key personnel may be unable to help out."
22/05/2026 14:06,9109,patrick.boyd,Snipe Hunt,1,retro,9109,10,Tanya wasn't having a good day.,Timings are super important when finding the root cause - push on the thing that lines up with the times.
21/05/2026 12:07,9084,david.emmerson,Snipe Hunt,1,retro,9084,9,bez was more helpful,.
20/05/2026 15:07,9063,andy.knox,Snipe Hunt,1,retro,9063,7,"That Tanya couldn't step away from what she was doing for a few minutes to look at the error logs, before needing to abandon the email rollout.",To be more decisive about abandoning an unrelated activity to bring the right people onboard for this incident.
18/05/2026 13:07,8986,oli,Snipe Hunt,1,retro,8986,8,First resolution of the incident didn't fix the problem,Double check things are working before declaring things are resolved
15/05/2026 08:05,8930,julian.wreford,Snipe Hunt,1,retro,8930,9,"I didn't expect the issue to be further back than imminently, I had expected the recent changes to be the problem
I also wasn't expecting the initial rectification to not work. It might have been worth checking the cert was valid BEFORE restart. Difficult to know that without retrosepct though","I jumped to rolling back the wrong service a little too quickly. I burnt some time by not actually understanding if the issue could be related
I also didn't bring in Tanya quickly enough, she needed another nudge to get involved and she was the one key to resolution"
14/05/2026 09:05,8902,sam.williams,Snipe Hunt,1,retro,8902,7,Needing to pull someone out of an important meeting. Having a red herring. Having a problem with multiple root causes.,There is nothing more important than a P1 (you can pull people out of other things). Some problems can have more than one root cause. Sometimes you have to take responsibility during an emergency when nobody else is around.